character,accuracy,correct,total,percentage_%
75:'K',0.45240761478163494,404,893,45.24076147816349
83:'S',0.45906163753449863,499,1087,45.90616375344986
80:'P',0.4623773173391494,424,917,46.23773173391494
247:'÷',0.46726190476190477,157,336,46.726190476190474
89:'Y',0.4683257918552036,414,884,46.83257918552036
82:'R',0.4716073147256978,490,1039,47.16073147256978
47:'/',0.4740450538687561,484,1021,47.40450538687561
66:'B',0.47588717015468607,523,1099,47.5887170154686
85:'U',0.47741273100616016,465,974,47.74127310061601
62:'>',0.48348106365834004,600,1241,48.348106365834006
71:'G',0.49159663865546216,468,952,49.159663865546214
70:'F',0.49334945586457074,408,827,49.334945586457074
76:'L',0.49500554938956715,446,901,49.50055493895672
40:'(',0.4954128440366973,432,872,49.54128440366973
35:'#',0.498868778280543,441,884,49.886877828054295
78:'N',0.5015075376884423,499,995,50.150753768844226
45:'-',0.5052508751458576,433,857,50.52508751458576
"44:','",0.5117924528301887,434,848,51.17924528301887
74:'J',0.512568306010929,469,915,51.256830601092894
41:')',0.5136674259681093,451,878,51.36674259681093
46:'.',0.5149171270718232,466,905,51.49171270718232
43:'+',0.5264483627204031,627,1191,52.64483627204031
36:'$',0.5268614514608859,559,1061,52.68614514608859
60:'<',0.6505612493899463,1333,2049,65.05612493899463
57:'9',0.6629933367503844,2587,3902,66.29933367503844
50:'2',0.6718948707079271,3170,4718,67.18948707079271
56:'8',0.6964163433006163,3051,4381,69.64163433006163
52:'4',0.6990935219986735,3162,4523,69.90935219986734
53:'5',0.7195121951219512,2832,3936,71.95121951219512
54:'6',0.7416419805332205,3505,4726,74.16419805332205
51:'3',0.744967978042086,3257,4372,74.4967978042086
49:'1',0.7572150660361976,4644,6133,75.72150660361976
55:'7',0.7645536869340233,2955,3865,76.45536869340232
48:'0',0.7952886529528865,4794,6028,79.52886529528865
