character,accuracy,correct,total,percentage_%
230:'æ',0.31876606683804626,124,389,31.876606683804624
109:'m',0.32009345794392524,137,428,32.00934579439252
210:'Ò',0.3215339233038348,109,339,32.15339233038348
219:'Û',0.32340425531914896,152,470,32.340425531914896
181:'µ',0.32717678100263853,124,379,32.71767810026385
251:'û',0.3278236914600551,119,363,32.78236914600551
208:'Ð',0.32840236686390534,111,338,32.84023668639053
15:'\x0f',0.3285024154589372,136,414,32.850241545893724
79:'O',0.3320659062103929,262,789,33.20659062103929
254:'þ',0.3324022346368715,119,358,33.24022346368715
61:'=',0.3333333333333333,160,480,33.33333333333333
249:'ù',0.3392857142857143,114,336,33.92857142857143
245:'õ',0.34169278996865204,109,319,34.1692789968652
17:'\x11',0.34688995215311,145,418,34.688995215311
91:'[',0.34701492537313433,186,536,34.701492537313435
182:'¶',0.35324675324675325,136,385,35.324675324675326
252:'ü',0.3569482288828338,131,367,35.694822888283376
200:'È',0.35733333333333334,134,375,35.733333333333334
64:'@',0.35912698412698413,181,504,35.91269841269841
199:'Ç',0.36174242424242425,191,528,36.17424242424242
167:'§',0.36343115124153497,161,443,36.3431151241535
189:'½',0.3638676844783715,143,393,36.38676844783715
165:'¥',0.36650485436893204,151,412,36.650485436893206
162:'¢',0.3698630136986301,135,365,36.986301369863014
101:'e',0.3767885532591415,237,629,37.67885532591415
253:'ý',0.3774104683195592,137,363,37.74104683195592
172:'¬',0.38178633975481613,218,571,38.17863397548161
100:'d',0.38496932515337423,251,652,38.49693251533742
220:'Ü',0.3890020366598778,191,491,38.90020366598778
190:'¾',0.39095744680851063,147,376,39.09574468085106
